Car_ID,Date,Brand,Model,Year,Body_Type,Fuel_Type,Transmission,Region,Sales_Units,Unit_Price,Total_Sales,Dealer,Customer_Type
1,04/04/2021,Hyundai,Elantra,2023,Truck,Hybrid,Manual,Lagos,9,34864296.92,313778672.3,SpeedHub,New
2,13/06/2019,Ford,Explorer,2024,Truck,Petrol,Automatic,Ibadan,18,32871315.39,591683677,DriveX,New
3,01/07/2021,Hyundai,Tucson,2020,SUV,Diesel,Manual,Port Harcourt,3,39686291.96,119058875.9,DriveX,Returning
4,02/12/2020,Nissan,Pathfinder,2018,Sedan,Hybrid,Automatic,Abuja,17,37131073.61,631228251.4,AutoNation,New
5,24/03/2024,Lexus,ES,2023,Sedan,Petrol,Automatic,Abuja,9,13111881.55,118006934,SpeedHub,Returning
6,04/10/2022,Nissan,Altima,2021,Truck,Electric,Manual,Port Harcourt,13,17462614.58,227013989.5,DriveX,Returning
7,22/06/2019,Hyundai,Elantra,2023,Sedan,Petrol,Manual,Abuja,6,37606258.58,225637551.5,SpeedHub,Returning
8,02/01/2021,Toyota,Highlander,2022,Sedan,Petrol,Automatic,Ibadan,3,9094093.69,27282281.07,MegaMotors,New
9,27/05/2022,Hyundai,Tucson,2021,Sedan,Petrol,Automatic,Ibadan,2,11162119.95,22324239.9,MegaMotors,New
10,16/04/2022,Kia,Sorento,2022,SUV,Hybrid,Automatic,Abuja,22,37966364.94,835260028.7,CarPoint,Returning
11,06/09/2023,Ford,Explorer,2023,SUV,Electric,Manual,Kano,25,27389790.61,684744765.3,SpeedHub,New
12,08/01/2023,Ford,Explorer,2019,Hatchback,Electric,Automatic,Ibadan,2,21981313.33,43962626.66,MegaMotors,New
13,30/08/2023,Kia,Sorento,2022,Hatchback,Electric,Manual,Ibadan,17,40328586.82,685585975.9,MegaMotors,Returning
14,19/01/2021,Honda,Civic,2024,Sedan,Diesel,Manual,Port Harcourt,4,39918444.48,159673777.9,DriveX,Returning
15,20/12/2024,BMW,3 Series,2020,Truck,Hybrid,Manual,Lagos,3,16302673.48,48908020.44,MegaMotors,Returning
16,29/11/2021,BMW,X5,2023,Truck,Diesel,Automatic,Kano,8,16636983.71,133095869.7,DriveX,New
17,16/06/2024,Kia,Rio,2023,Truck,Hybrid,Manual,Ibadan,3,39612679.24,118838037.7,MegaMotors,Returning
18,25/12/2022,Lexus,RX,2023,SUV,Petrol,Automatic,Kano,24,36519607.85,876470588.4,AutoNation,Returning
19,24/11/2021,BMW,X3,2024,Truck,Hybrid,Manual,Kano,6,35162002.76,210972016.6,DriveX,Returning
20,11/12/2022,BMW,X5,2021,SUV,Petrol,Manual,Kano,10,22577856.97,225778569.7,DriveX,Returning
21,08/11/2022,Ford,Escape,2022,SUV,Petrol,Automatic,Abuja,3,18186220.83,54558662.49,SpeedHub,New
22,07/08/2020,Ford,Escape,2023,Sedan,Diesel,Automatic,Lagos,7,25748523.29,180239663,SpeedHub,New
23,01/05/2022,Volkswagen,Jetta,2018,Hatchback,Electric,Automatic,Abuja,23,19342028.67,444866659.4,AutoNation,Returning
24,14/07/2022,Mercedes,E-Class,2021,Sedan,Petrol,Manual,Port Harcourt,4,27541595.88,110166383.5,MegaMotors,New
25,17/11/2024,Toyota,RAV4,2019,Sedan,Hybrid,Manual,Ibadan,24,39735687.93,953656510.3,DriveX,New
26,02/12/2023,BMW,3 Series,2021,SUV,Diesel,Manual,Lagos,2,23604828.53,47209657.06,AutoNation,Returning
27,28/11/2019,Toyota,RAV4,2021,Sedan,Hybrid,Automatic,Abuja,19,26973270.83,512492145.8,MegaMotors,New
28,21/10/2024,Mercedes,GLC,2021,Sedan,Petrol,Automatic,Port Harcourt,22,22430363.01,493467986.2,AutoNation,Returning
29,16/06/2022,BMW,5 Series,2020,SUV,Electric,Manual,Lagos,5,42379940.19,211899701,CarPoint,Returning
30,25/09/2024,Toyota,Corolla,2023,Truck,Electric,Automatic,Ibadan,7,24126551.16,168885858.1,SpeedHub,Returning
31,12/11/2022,Hyundai,Santa Fe,2018,Hatchback,Electric,Automatic,Ibadan,18,13798943.42,248380981.6,CarPoint,New
32,12/07/2019,Ford,Focus,2019,Truck,Hybrid,Automatic,Lagos,4,34324755.06,137299020.2,AutoNation,New
33,02/10/2021,Lexus,LX,2019,Sedan,Diesel,Automatic,Ibadan,24,9878744,237089856,CarPoint,Returning
34,16/03/2023,Kia,Sorento,2019,Sedan,Petrol,Automatic,Abuja,23,16416442.88,377578186.2,CarPoint,New
35,29/05/2023,Nissan,Rogue,2022,Truck,Petrol,Automatic,Lagos,19,42561224.48,808663265.1,SpeedHub,New
36,05/12/2021,Hyundai,Kona,2020,Sedan,Diesel,Manual,Ibadan,17,34597327.61,588154569.4,DriveX,Returning
37,14/04/2020,Toyota,Camry,2024,Hatchback,Electric,Automatic,Kano,16,17021953.14,272351250.2,AutoNation,Returning
38,01/11/2021,Volkswagen,Passat,2024,SUV,Hybrid,Automatic,Port Harcourt,10,28320652.18,283206521.8,MegaMotors,New
